epoch,loss,lr,val_loss
0.0,0.4792635440826416,0.0001,
1.0,0.4825221200784047,0.0001,
2.0,0.3547601078947385,0.0001,
3.0,0.3126067544023196,0.0001,
4.0,0.3157466848691304,0.0001,
5.0,0.268687625726064,0.0001,
6.0,0.2563175807396571,0.0001,
7.0,0.2323249553640683,0.0001,
8.0,0.2045730004707972,0.0001,
9.0,0.2288686782121658,0.0001,
10.0,0.2401124611496925,0.0001,
11.0,0.1885878418882688,0.0001,
12.0,0.1952797000606854,0.0001,
13.0,0.2175020575523376,0.0001,
14.0,0.20345917592446,0.0001,
15.0,0.2309512197971344,0.0001,
16.0,0.2161188820997873,0.0001,
17.0,0.2064643775423368,0.0001,
18.0,0.2017537752787272,0.0001,
19.0,0.2082807347178459,0.0001,
20.0,0.1901568298538526,0.0001,
21.0,0.1830102205276489,0.0001,
22.0,0.1667462090651194,0.0001,
23.0,0.1842536851763725,0.0001,
24.0,0.1904020110766092,0.0001,
25.0,0.1914246877034505,0.0001,
26.0,0.181478165090084,0.0001,
27.0,0.1627586185932159,0.0001,
28.0,0.1816266824801763,0.0001,
29.0,0.1596912667155265,0.0001,
30.0,0.18445366869370142,0.0001,
31.0,0.16263856490453085,0.0001,
32.0,0.1524696225921313,0.0001,
33.0,0.191297747194767,0.0001,
34.0,0.1522208203872045,0.0001,
35.0,0.16169116149346033,0.0001,
36.0,0.16877223054567972,0.0001,
37.0,0.16030193120241165,0.0001,
38.0,0.1710831175247828,0.0001,
